Special thanks to https://docs.google.com/spreadsheets/d/178o8U97P2cpb0RZbZBvGIoX4bPhUm_lPczg6elfIj9s/edit?gid=1542902078#gid=1542902078

Item ID	Item Name
407	
408	
409	
410	
411	
412	
413	
414	
415	
416	
417	
418	
419	
420	
421	
422	
423	
424	
425	
426	
427	
428	
429	
430	
431	
432	
433	
434	
435	
436	
438	
439	
440	
441	
162	
443	
513	
126	Demon Ammo
127	Armour Ammo
122	Recover Ammo
125	Tranq Ammo
121	Exhaust Ammo
252	
514	
515	
516	
517	
518	
520	
521	
444	
445	
446	
447	
448	
449	
450	
451	
452	
453	
454	
455	
456	
103	
457	
458	
459	
460	
461	
462	
463	
464	
465	
466	
467	
468	
469	
242	
243	
535	Arkveld Tail
84	Large Dung Pod
141	458: brown great supply slinger ammo?
530	Arkveld Scale+
531	Arkveld Armourplate
532	White Arkveld Pelt
533	Arkveld Calloushell
534	Arkveld Horn+
536	Arkveld Gem
537	Arkveld Certificate S
194	Heavy Blunt Pod
195	Heavy Severing Pod
196	
741	Basic Material
742	Valuable Material
607	
608	
734	Ancient Wyvern Coin
193	
161	476: white mantle?
58	Chillshroom
49	478: vermilion berry?
577	
383	
489	
490	
491	
492	
493	
494	
219	
258	Bulaqchi Carapace
226	
227	Monster Broth
260	Talioth Scale+
221	Wingdrake Hide+
261	
262	
269	
270	
271	
272	
274	
275	
309	
310	
311	
312	
313	
314	
315	
316	
317	
376	
378	
377	
379	
380	
381	
382	
384	
385	
471	
472	
473	
474	
475	
476	
477	Rubbery Hide
478	Rubbery Hide+
479	Gypceros Wing
480	Gypceros Head
481	Gypceros Tail
482	Gypceros Certificate S
239	Bird Wyvern Gem
102	Dash Extract
488	
496	
497	
498	
499	
500	
501	
502	
503	
504	
505	
506	
507	
508	
509	
510	
511	
512	
522	
523	
525	
524	
527	
526	
528	
529	
253	
267	
268	
263	
264	
265	
266	
273	
209	Lightcrystal
210	Novacrystal
207	580: ore?
208	581: ore?
203	Fucium Ore
205	583: ore?
495	
318	
214	586: bone?
215	587: bone?
216	588: bone?
212	Quality Bone
582	
583	
584	
232	
233	
237	
238	Torrent Sac
234	
235	
236	
228	
229	Toxin Sac
301	
307	
230	
231	
246	
247	
609	
610	
611	
612	
613	
615	
616	
617	
619	
569	619: weapon accessory item?
570	620: weapon accessory item?
571	621: weapon accessory item?
600	Armour Sphere
601	Armour Sphere+
602	Advanced Armour Sphere
603	Hard Armour Sphere
165	
164	
166	
167	
735	
36	631: cures poison?
21	
59	Catalyst
68	Gunpowder
69	Small Barrel
71	Large Barrel
74	Spider Web
75	Net
99	
100	
101	
659	
658	Golden Scale
660	Platinum Scale
590	
591	
593	
594	
663	
664	
665	
604	Heavy Armour Sphere
248	Monster Keenbone
249	Monster Hardbone
250	Stoutbone
251	Great Stoutbone
254	
255	
256	
592	
595	
244	
245	
596	666: artian grind material? 10 value
597	667: artian grind material? 20 value
598	668: artian grind material? 25 value
599	669: artian grind material? 50 value
155	Common Wood Minnow
156	
157	
158	
159	
160	
168	Close-range Coating
169	Power Coating
170	Pierce Coating
172	Paralysis Coating
171	Poison Coating
173	Sleep Coating
174	Blast Coating
175	Exhaust Coating
96	
98	685: cures bleed?
578	
579	
580	
581	
740	690: Unknown
206	698: ore?
585	
586	
587	
588	
589	
323	Balahara Black Pearl
442	
437	
519	
618	
